zone,week,person,table,group,role
Zone 2,1,Person 906,17,17,Scribe
Zone 2,1,Person 1744,17,17,Researcher
Zone 2,1,Person 2546,17,17,
Zone 2,1,Person 3520,17,17,
Zone 2,1,Person 4285,17,17,
Zone 2,1,Person 108,18,18,Leader
Zone 2,1,Person 913,18,18,Scribe
Zone 2,1,Person 1749,18,18,Researcher
Zone 2,1,Person 2550,18,18,
Zone 2,1,Person 3532,18,18,
Zone 2,1,Person 4286,18,18,
Zone 2,1,Person 122,19,19,Leader
Zone 2,1,Person 916,19,19,Scribe
Zone 2,1,Person 1755,19,19,Researcher
Zone 2,1,Person 2559,19,19,
Zone 2,1,Person 3534,19,19,
Zone 2,1,Person 4291,19,19,
Zone 2,1,Person 123,20,20,Leader
Zone 2,1,Person 930,20,20,Scribe
Zone 2,1,Person 1756,20,20,Researcher
Zone 2,1,Person 2560,20,20,
Zone 2,1,Person 3536,20,20,
Zone 2,1,Person 4293,20,20,
Zone 2,1,Person 130,21,21,Leader
Zone 2,1,Person 937,21,21,Scribe
Zone 2,1,Person 1769,21,21,Researcher
Zone 2,1,Person 2569,21,21,
Zone 2,1,Person 3547,21,21,
Zone 2,1,Person 4296,21,21,
Zone 2,1,Person 136,22,22,Leader
Zone 2,1,Person 939,22,22,Scribe
Zone 2,1,Person 1775,22,22,Researcher
Zone 2,1,Person 2574,22,22,
Zone 2,1,Person 3548,22,22,
Zone 2,1,Person 4299,22,22,
Zone 2,1,Person 137,23,23,Leader
Zone 2,1,Person 940,23,23,Scribe
Zone 2,1,Person 1778,23,23,Researcher
Zone 2,1,Person 2577,23,23,
Zone 2,1,Person 3549,23,23,
Zone 2,1,Person 4301,23,23,
Zone 2,1,Person 139,24,24,Leader
Zone 2,1,Person 943,24,24,Scribe
Zone 2,1,Person 1779,24,24,Researcher
Zone 2,1,Person 2581,24,24,
Zone 2,1,Person 3552,24,24,
Zone 2,1,Person 4310,24,24,
Zone 2,1,Person 146,25,25,Leader
Zone 2,1,Person 945,25,25,Scribe
Zone 2,1,Person 1781,25,25,Researcher
Zone 2,1,Person 2586,25,25,
Zone 2,1,Person 3554,25,25,
Zone 2,1,Person 4311,25,25,
Zone 2,1,Person 156,26,26,Leader
Zone 2,1,Person 946,26,26,Scribe
Zone 2,1,Person 1784,26,26,Researcher
Zone 2,1,Person 2598,26,26,
Zone 2,1,Person 3555,26,26,
Zone 2,1,Person 4316,26,26,
Zone 2,1,Person 157,27,27,Leader
Zone 2,1,Person 952,27,27,Scribe
Zone 2,1,Person 1787,27,27,Researcher
Zone 2,1,Person 2604,27,27,
Zone 2,1,Person 3558,27,27,
Zone 2,1,Person 4330,27,27,
Zone 2,1,Person 165,28,28,Leader
Zone 2,1,Person 964,28,28,Scribe
Zone 2,1,Person 1792,28,28,Researcher
Zone 2,1,Person 2614,28,28,
Zone 2,1,Person 3560,28,28,
Zone 2,1,Person 4332,28,28,
Zone 2,1,Person 166,29,29,Leader
Zone 2,1,Person 966,29,29,Scribe
Zone 2,1,Person 1797,29,29,Researcher
Zone 2,1,Person 2623,29,29,
Zone 2,1,Person 3570,29,29,
Zone 2,1,Person 4336,29,29,
Zone 2,1,Person 168,30,30,Leader
Zone 2,1,Person 968,30,30,Scribe
Zone 2,1,Person 1802,30,30,Researcher
Zone 2,1,Person 2630,30,30,
Zone 2,1,Person 3571,30,30,
Zone 2,1,Person 4338,30,30,
Zone 2,1,Person 172,31,31,Leader
Zone 2,1,Person 971,31,31,Scribe
Zone 2,1,Person 1811,31,31,Researcher
Zone 2,1,Person 2635,31,31,
Zone 2,1,Person 3579,31,31,
Zone 2,1,Person 4342,31,31,
Zone 2,1,Person 174,32,32,Leader
Zone 2,1,Person 973,32,32,Scribe
Zone 2,1,Person 1817,32,32,Researcher
Zone 2,1,Person 2643,32,32,
Zone 2,1,Person 3582,32,32,
Zone 2,1,Person 4344,32,32,
Zone 2,1,Person 175,33,33,Leader
Zone 2,1,Person 979,33,33,Scribe
Zone 2,1,Person 1820,33,33,Researcher
Zone 2,1,Person 2645,33,33,
Zone 2,1,Person 3584,33,33,
Zone 2,1,Person 4351,33,33,
Zone 2,1,Person 177,34,34,Leader
Zone 2,1,Person 982,34,34,Scribe
Zone 2,1,Person 1832,34,34,Researcher
Zone 2,1,Person 2646,34,34,
Zone 2,1,Person 3591,34,34,
Zone 2,1,Person 4358,34,34,
Zone 2,1,Person 178,35,35,Leader
Zone 2,1,Person 988,35,35,Scribe
Zone 2,1,Person 1833,35,35,Researcher
Zone 2,1,Person 2647,35,35,
Zone 2,1,Person 3592,35,35,
Zone 2,1,Person 4359,35,35,
Zone 2,1,Person 179,36,36,Leader
Zone 2,1,Person 990,36,36,Scribe
Zone 2,1,Person 1838,36,36,Researcher
Zone 2,1,Person 2651,36,36,
Zone 2,1,Person 3593,36,36,
Zone 2,1,Person 4372,36,36,
Zone 2,1,Person 184,37,37,Leader
Zone 2,1,Person 1018,37,37,Scribe
Zone 2,1,Person 1840,37,37,Researcher
Zone 2,1,Person 2657,37,37,
Zone 2,1,Person 3605,37,37,
Zone 2,1,Person 4373,37,37,
Zone 2,1,Person 189,38,38,Leader
Zone 2,1,Person 1019,38,38,Scribe
Zone 2,1,Person 1842,38,38,Researcher
Zone 2,1,Person 2664,38,38,
Zone 2,1,Person 3613,38,38,
Zone 2,1,Person 4386,38,38,
Zone 2,1,Person 190,39,39,Leader
Zone 2,1,Person 1036,39,39,Scribe
Zone 2,1,Person 1843,39,39,Researcher
Zone 2,1,Person 2665,39,39,
Zone 2,1,Person 3614,39,39,
Zone 2,1,Person 4400,39,39,
Zone 2,1,Person 192,40,40,Leader
Zone 2,1,Person 1042,40,40,Scribe
Zone 2,1,Person 1844,40,40,Researcher
Zone 2,1,Person 2669,40,40,
Zone 2,1,Person 3625,40,40,
Zone 2,1,Person 4408,40,40,
Zone 2,1,Person 202,41,41,Leader
Zone 2,1,Person 1051,41,41,Scribe
Zone 2,1,Person 1852,41,41,Researcher
Zone 2,1,Person 2698,41,41,
Zone 2,1,Person 3632,41,41,
Zone 2,1,Person 4409,41,41,
Zone 2,1,Person 210,42,42,Leader
Zone 2,1,Person 1053,42,42,Scribe
Zone 2,1,Person 1853,42,42,Researcher
Zone 2,1,Person 2714,42,42,
Zone 2,1,Person 3645,42,42,
Zone 2,1,Person 4410,42,42,
Zone 2,1,Person 223,43,43,Leader
Zone 2,1,Person 1069,43,43,Scribe
Zone 2,1,Person 1860,43,43,Researcher
Zone 2,1,Person 2716,43,43,
Zone 2,1,Person 3654,43,43,
Zone 2,1,Person 4417,43,43,
Zone 2,1,Person 224,44,44,Leader
Zone 2,1,Person 1076,44,44,Scribe
Zone 2,1,Person 1861,44,44,Researcher
Zone 2,1,Person 2720,44,44,
Zone 2,1,Person 3659,44,44,
Zone 2,1,Person 4418,44,44,
Zone 2,1,Person 233,45,45,Leader
Zone 2,1,Person 1078,45,45,Scribe
Zone 2,1,Person 1862,45,45,Researcher
Zone 2,1,Person 2737,45,45,
Zone 2,1,Person 3661,45,45,
Zone 2,1,Person 4419,45,45,
Zone 2,1,Person 237,46,46,Leader
Zone 2,1,Person 1081,46,46,Scribe
Zone 2,1,Person 1863,46,46,Researcher
Zone 2,1,Person 2746,46,46,
Zone 2,1,Person 3663,46,46,
Zone 2,1,Person 4420,46,46,
Zone 2,1,Person 239,47,47,Leader
Zone 2,1,Person 1088,47,47,Scribe
Zone 2,1,Person 1866,47,47,Researcher
Zone 2,1,Person 2747,47,47,
Zone 2,1,Person 3674,47,47,
Zone 2,1,Person 4421,47,47,
Zone 2,1,Person 246,48,48,Leader
Zone 2,1,Person 1094,48,48,Scribe
Zone 2,1,Person 1868,48,48,Researcher
Zone 2,1,Person 2748,48,48,
Zone 2,1,Person 3676,48,48,
Zone 2,1,Person 4437,48,48,
Zone 2,1,Person 248,49,49,Leader
Zone 2,1,Person 1103,49,49,Scribe
Zone 2,1,Person 1873,49,49,Researcher
Zone 2,1,Person 2764,49,49,
Zone 2,1,Person 3677,49,49,
Zone 2,1,Person 4441,49,49,
Zone 2,1,Person 263,50,50,Leader
Zone 2,1,Person 1107,50,50,Scribe
Zone 2,1,Person 1878,50,50,Researcher
Zone 2,1,Person 2773,50,50,
Zone 2,1,Person 3678,50,50,
Zone 2,1,Person 4442,50,50,
Zone 2,1,Person 265,51,51,Leader
Zone 2,1,Person 1111,51,51,Scribe
Zone 2,1,Person 1880,51,51,Researcher
Zone 2,1,Person 2775,51,51,
Zone 2,1,Person 3679,51,51,
Zone 2,1,Person 4447,51,51,
Zone 2,1,Person 269,52,52,Leader
Zone 2,1,Person 1125,52,52,Scribe
Zone 2,1,Person 1890,52,52,Researcher
Zone 2,1,Person 2778,52,52,
Zone 2,1,Person 3680,52,52,
Zone 2,1,Person 4462,52,52,
Zone 2,1,Person 272,53,53,Leader
Zone 2,1,Person 1130,53,53,Scribe
Zone 2,1,Person 1902,53,53,Researcher
Zone 2,1,Person 2783,53,53,
Zone 2,1,Person 3681,53,53,
Zone 2,1,Person 4465,53,53,
Zone 2,1,Person 277,54,54,Leader
Zone 2,1,Person 1131,54,54,Scribe
Zone 2,1,Person 1904,54,54,Researcher
Zone 2,1,Person 2787,54,54,
Zone 2,1,Person 3683,54,54,
Zone 2,1,Person 4468,54,54,
Zone 2,1,Person 278,55,55,Leader
Zone 2,1,Person 1133,55,55,Scribe
Zone 2,1,Person 1905,55,55,Researcher
Zone 2,1,Person 2792,55,55,
Zone 2,1,Person 3687,55,55,
Zone 2,1,Person 4469,55,55,
Zone 2,1,Person 280,56,56,Leader
Zone 2,1,Person 1134,56,56,Scribe
Zone 2,1,Person 1909,56,56,Researcher
Zone 2,1,Person 2793,56,56,
Zone 2,1,Person 3697,56,56,
Zone 2,1,Person 4470,56,56,
Zone 2,1,Person 282,57,57,Leader
Zone 2,1,Person 1149,57,57,Scribe
Zone 2,1,Person 1910,57,57,Researcher
Zone 2,1,Person 2819,57,57,
Zone 2,1,Person 3700,57,57,
Zone 2,1,Person 4479,57,57,
Zone 2,1,Person 288,58,58,Leader
Zone 2,1,Person 1152,58,58,Scribe
Zone 2,1,Person 1925,58,58,Researcher
Zone 2,1,Person 2826,58,58,
Zone 2,1,Person 3704,58,58,
Zone 2,1,Person 4481,58,58,
Zone 2,1,Person 295,59,59,Leader
Zone 2,1,Person 1158,59,59,Scribe
Zone 2,1,Person 1934,59,59,Researcher
Zone 2,1,Person 2831,59,59,
Zone 2,1,Person 3710,59,59,
Zone 2,1,Person 4484,59,59,
Zone 2,1,Person 299,60,60,Leader
Zone 2,1,Person 1162,60,60,Scribe
Zone 2,1,Person 1938,60,60,Researcher
Zone 2,1,Person 2835,60,60,
Zone 2,1,Person 3723,60,60,
Zone 2,1,Person 4486,60,60,
Zone 2,1,Person 304,61,61,Leader
Zone 2,1,Person 1169,61,61,Scribe
Zone 2,1,Person 1941,61,61,Researcher
Zone 2,1,Person 2840,61,61,
Zone 2,1,Person 3735,61,61,
Zone 2,1,Person 4488,61,61,
Zone 2,1,Person 312,62,62,Leader
Zone 2,1,Person 1177,62,62,Scribe
Zone 2,1,Person 1943,62,62,Researcher
Zone 2,1,Person 2841,62,62,
Zone 2,1,Person 3736,62,62,
Zone 2,1,Person 4496,62,62,
Zone 2,1,Person 319,63,63,Leader
Zone 2,1,Person 1178,63,63,Scribe
Zone 2,1,Person 1951,63,63,Researcher
Zone 2,1,Person 2842,63,63,
Zone 2,1,Person 3751,63,63,
Zone 2,1,Person 4499,63,63,
Zone 2,1,Person 321,64,64,Leader
Zone 2,1,Person 1182,64,64,Scribe
Zone 2,1,Person 1961,64,64,Researcher
Zone 2,1,Person 2843,64,64,
Zone 2,1,Person 3760,64,64,
Zone 2,1,Person 4501,64,64,
Zone 2,1,Person 324,65,65,Leader
Zone 2,1,Person 1186,65,65,Scribe
Zone 2,1,Person 1970,65,65,Researcher
Zone 2,1,Person 2860,65,65,
Zone 2,1,Person 3771,65,65,
Zone 2,1,Person 4502,65,65,
Zone 2,1,Person 332,66,66,Leader
Zone 2,1,Person 1196,66,66,Scribe
Zone 2,1,Person 1972,66,66,Researcher
Zone 2,1,Person 2865,66,66,
Zone 2,1,Person 3779,66,66,
Zone 2,1,Person 4510,66,66,
Zone 2,1,Person 333,67,67,Leader
Zone 2,1,Person 1197,67,67,Scribe
Zone 2,1,Person 1980,67,67,Researcher
Zone 2,1,Person 2869,67,67,
Zone 2,1,Person 3786,67,67,
Zone 2,1,Person 4511,67,67,
Zone 2,1,Person 336,68,68,Leader
Zone 2,1,Person 1199,68,68,Scribe
Zone 2,1,Person 1988,68,68,Researcher
Zone 2,1,Person 2877,68,68,
Zone 2,1,Person 3791,68,68,
Zone 2,1,Person 4514,68,68,
Zone 2,1,Person 339,69,69,Leader
Zone 2,1,Person 1213,69,69,Scribe
Zone 2,1,Person 1990,69,69,Researcher
Zone 2,1,Person 2878,69,69,
Zone 2,1,Person 3795,69,69,
Zone 2,1,Person 4516,69,69,
Zone 2,1,Person 350,70,70,Leader
Zone 2,1,Person 1217,70,70,Scribe
Zone 2,1,Person 1992,70,70,Researcher
Zone 2,1,Person 2881,70,70,
Zone 2,1,Person 3800,70,70,
Zone 2,1,Person 4522,70,70,
Zone 2,1,Person 354,71,71,Leader
Zone 2,1,Person 1223,71,71,Scribe
Zone 2,1,Person 1993,71,71,Researcher
Zone 2,1,Person 2891,71,71,
Zone 2,1,Person 3805,71,71,
Zone 2,1,Person 4528,71,71,
Zone 2,1,Person 356,72,72,Leader
Zone 2,1,Person 1225,72,72,Scribe
Zone 2,1,Person 2000,72,72,Researcher
Zone 2,1,Person 2896,72,72,
Zone 2,1,Person 3806,72,72,
Zone 2,1,Person 4529,72,72,
Zone 2,1,Person 357,73,73,Leader
Zone 2,1,Person 1232,73,73,Scribe
Zone 2,1,Person 2001,73,73,Researcher
Zone 2,1,Person 2907,73,73,
Zone 2,1,Person 3808,73,73,
Zone 2,1,Person 4540,73,73,
Zone 2,1,Person 363,74,74,Leader
Zone 2,1,Person 1240,74,74,Scribe
Zone 2,1,Person 2020,74,74,Researcher
Zone 2,1,Person 2910,74,74,
Zone 2,1,Person 3809,74,74,
Zone 2,1,Person 4550,74,74,
Zone 2,1,Person 373,75,75,Leader
Zone 2,1,Person 1241,75,75,Scribe
Zone 2,1,Person 2025,75,75,Researcher
Zone 2,1,Person 2912,75,75,
Zone 2,1,Person 3810,75,75,
Zone 2,1,Person 4551,75,75,
Zone 2,1,Person 377,76,76,Leader
Zone 2,1,Person 1243,76,76,Scribe
Zone 2,1,Person 2029,76,76,Researcher
Zone 2,1,Person 2923,76,76,
Zone 2,1,Person 3814,76,76,
Zone 2,1,Person 4552,76,76,
Zone 2,1,Person 392,77,77,Leader
Zone 2,1,Person 1244,77,77,Scribe
Zone 2,1,Person 2032,77,77,Researcher
Zone 2,1,Person 2925,77,77,
Zone 2,1,Person 3823,77,77,
Zone 2,1,Person 4561,77,77,
Zone 2,1,Person 398,78,78,Leader
Zone 2,1,Person 1253,78,78,Scribe
Zone 2,1,Person 2038,78,78,Researcher
Zone 2,1,Person 2928,78,78,
Zone 2,1,Person 3825,78,78,
Zone 2,1,Person 4564,78,78,
Zone 2,1,Person 406,79,79,Leader
Zone 2,1,Person 1265,79,79,Scribe
Zone 2,1,Person 2056,79,79,Researcher
Zone 2,1,Person 2944,79,79,
Zone 2,1,Person 3829,79,79,
Zone 2,1,Person 4574,79,79,
Zone 2,1,Person 410,80,80,Leader
Zone 2,1,Person 1269,80,80,Scribe
Zone 2,1,Person 2067,80,80,Researcher
Zone 2,1,Person 2951,80,80,
Zone 2,1,Person 3832,80,80,
Zone 2,1,Person 4577,80,80,
Zone 2,1,Person 416,81,81,Leader
Zone 2,1,Person 1270,81,81,Scribe
Zone 2,1,Person 2070,81,81,Researcher
Zone 2,1,Person 2961,81,81,
Zone 2,1,Person 3843,81,81,
Zone 2,1,Person 4587,81,81,
Zone 2,1,Person 429,82,82,Leader
Zone 2,1,Person 1281,82,82,Scribe
Zone 2,1,Person 2073,82,82,Researcher
Zone 2,1,Person 2967,82,82,
Zone 2,1,Person 3844,82,82,
Zone 2,1,Person 4591,82,82,
Zone 2,1,Person 438,83,83,Leader
Zone 2,1,Person 1282,83,83,Scribe
Zone 2,1,Person 2081,83,83,Researcher
Zone 2,1,Person 2968,83,83,
Zone 2,1,Person 3847,83,83,
Zone 2,1,Person 4595,83,83,
Zone 2,1,Person 439,84,84,Leader
Zone 2,1,Person 1284,84,84,Scribe
Zone 2,1,Person 2094,84,84,Researcher
Zone 2,1,Person 2969,84,84,
Zone 2,1,Person 3848,84,84,
Zone 2,1,Person 4599,84,84,
Zone 2,1,Person 446,85,85,Leader
Zone 2,1,Person 1289,85,85,Scribe
Zone 2,1,Person 2098,85,85,Researcher
Zone 2,1,Person 2970,85,85,
Zone 2,1,Person 3852,85,85,
Zone 2,1,Person 4606,85,85,
Zone 2,1,Person 474,86,86,Leader
Zone 2,1,Person 1293,86,86,Scribe
Zone 2,1,Person 2099,86,86,Researcher
Zone 2,1,Person 2989,86,86,
Zone 2,1,Person 3855,86,86,
Zone 2,1,Person 4611,86,86,
Zone 2,1,Person 481,87,87,Leader
Zone 2,1,Person 1295,87,87,Scribe
Zone 2,1,Person 2107,87,87,Researcher
Zone 2,1,Person 2998,87,87,
Zone 2,1,Person 3858,87,87,
Zone 2,1,Person 4617,87,87,
Zone 2,1,Person 500,88,88,Leader
Zone 2,1,Person 1305,88,88,Scribe
Zone 2,1,Person 2113,88,88,Researcher
Zone 2,1,Person 2999,88,88,
Zone 2,1,Person 3864,88,88,
Zone 2,1,Person 4623,88,88,
Zone 2,1,Person 502,89,89,Leader
Zone 2,1,Person 1310,89,89,Scribe
Zone 2,1,Person 2115,89,89,Researcher
Zone 2,1,Person 3006,89,89,
Zone 2,1,Person 3870,89,89,
Zone 2,1,Person 4626,89,89,
Zone 2,1,Person 508,90,90,Leader
Zone 2,1,Person 1314,90,90,Scribe
Zone 2,1,Person 2119,90,90,Researcher
Zone 2,1,Person 3017,90,90,
Zone 2,1,Person 3873,90,90,
Zone 2,1,Person 4628,90,90,
Zone 2,1,Person 509,91,91,Leader
Zone 2,1,Person 1317,91,91,Scribe
Zone 2,1,Person 2120,91,91,Researcher
Zone 2,1,Person 3019,91,91,
Zone 2,1,Person 3874,91,91,
Zone 2,1,Person 4640,91,91,
Zone 2,1,Person 514,92,92,Leader
Zone 2,1,Person 1326,92,92,Scribe
Zone 2,1,Person 2121,92,92,Researcher
Zone 2,1,Person 3036,92,92,
Zone 2,1,Person 3880,92,92,
Zone 2,1,Person 4642,92,92,
Zone 2,1,Person 520,93,93,Leader
Zone 2,1,Person 1328,93,93,Scribe
Zone 2,1,Person 2125,93,93,Researcher
Zone 2,1,Person 3039,93,93,
Zone 2,1,Person 3883,93,93,
Zone 2,1,Person 4643,93,93,
Zone 2,1,Person 524,94,94,Leader
Zone 2,1,Person 1331,94,94,Scribe
Zone 2,1,Person 2126,94,94,Researcher
Zone 2,1,Person 3040,94,94,
Zone 2,1,Person 3896,94,94,
Zone 2,1,Person 4646,94,94,
Zone 2,1,Person 526,95,95,Leader
Zone 2,1,Person 1333,95,95,Scribe
Zone 2,1,Person 2131,95,95,Researcher
Zone 2,1,Person 3046,95,95,
Zone 2,1,Person 3901,95,95,
Zone 2,1,Person 4658,95,95,
Zone 2,1,Person 538,96,96,Leader
Zone 2,1,Person 1338,96,96,Scribe
Zone 2,1,Person 2138,96,96,Researcher
Zone 2,1,Person 3051,96,96,
Zone 2,1,Person 3908,96,96,
Zone 2,1,Person 4662,96,96,
Zone 2,1,Person 539,97,97,Leader
Zone 2,1,Person 1346,97,97,Scribe
Zone 2,1,Person 2143,97,97,Researcher
Zone 2,1,Person 3053,97,97,
Zone 2,1,Person 3919,97,97,
Zone 2,1,Person 4666,97,97,
Zone 2,1,Person 541,98,98,Leader
Zone 2,1,Person 1347,98,98,Scribe
Zone 2,1,Person 2151,98,98,Researcher
Zone 2,1,Person 3064,98,98,
Zone 2,1,Person 3922,98,98,
Zone 2,1,Person 4673,98,98,
Zone 2,1,Person 556,99,99,Leader
Zone 2,1,Person 1350,99,99,Scribe
Zone 2,1,Person 2154,99,99,Researcher
Zone 2,1,Person 3065,99,99,
Zone 2,1,Person 3924,99,99,
Zone 2,1,Person 4677,99,99,
Zone 2,1,Person 562,100,100,Leader
Zone 2,1,Person 1354,100,100,Scribe
Zone 2,1,Person 2156,100,100,Researcher
Zone 2,1,Person 3067,100,100,
Zone 2,1,Person 3926,100,100,
Zone 2,1,Person 4685,100,100,
Zone 2,1,Person 563,101,101,Leader
Zone 2,1,Person 1361,101,101,Scribe
Zone 2,1,Person 2158,101,101,Researcher
Zone 2,1,Person 3076,101,101,
Zone 2,1,Person 3929,101,101,
Zone 2,1,Person 4692,101,101,
Zone 2,1,Person 564,102,102,Leader
Zone 2,1,Person 1363,102,102,Scribe
Zone 2,1,Person 2167,102,102,Researcher
Zone 2,1,Person 3078,102,102,
Zone 2,1,Person 3935,102,102,
Zone 2,1,Person 4695,102,102,
Zone 2,1,Person 568,103,103,Leader
Zone 2,1,Person 1368,103,103,Scribe
Zone 2,1,Person 2170,103,103,Researcher
Zone 2,1,Person 3079,103,103,
Zone 2,1,Person 3941,103,103,
Zone 2,1,Person 4696,103,103,
Zone 2,1,Person 573,104,104,Leader
Zone 2,1,Person 1371,104,104,Scribe
Zone 2,1,Person 2176,104,104,Researcher
Zone 2,1,Person 3080,104,104,
Zone 2,1,Person 3946,104,104,
Zone 2,1,Person 4708,104,104,
Zone 2,1,Person 576,105,105,Leader
Zone 2,1,Person 1386,105,105,Scribe
Zone 2,1,Person 2189,105,105,Researcher
Zone 2,1,Person 3083,105,105,
Zone 2,1,Person 3947,105,105,
Zone 2,1,Person 4716,105,105,
Zone 2,1,Person 583,106,106,Leader
Zone 2,1,Person 1392,106,106,Scribe
Zone 2,1,Person 2190,106,106,Researcher
Zone 2,1,Person 3085,106,106,
Zone 2,1,Person 3957,106,106,
Zone 2,1,Person 4718,106,106,
Zone 2,1,Person 588,107,107,Leader
Zone 2,1,Person 1401,107,107,Scribe
Zone 2,1,Person 2206,107,107,Researcher
Zone 2,1,Person 3094,107,107,
Zone 2,1,Person 3961,107,107,
Zone 2,1,Person 4728,107,107,
Zone 2,1,Person 597,108,108,Leader
Zone 2,1,Person 1416,108,108,Scribe
Zone 2,1,Person 2207,108,108,Researcher
Zone 2,1,Person 3099,108,108,
Zone 2,1,Person 3967,108,108,
Zone 2,1,Person 4730,108,108,
Zone 2,1,Person 599,109,109,Leader
Zone 2,1,Person 1421,109,109,Scribe
Zone 2,1,Person 2208,109,109,Researcher
Zone 2,1,Person 3112,109,109,
Zone 2,1,Person 3976,109,109,
Zone 2,1,Person 4732,109,109,
Zone 2,1,Person 604,110,110,Leader
Zone 2,1,Person 1428,110,110,Scribe
Zone 2,1,Person 2209,110,110,Researcher
Zone 2,1,Person 3114,110,110,
Zone 2,1,Person 3988,110,110,
Zone 2,1,Person 4733,110,110,
Zone 2,1,Person 607,111,111,Leader
Zone 2,1,Person 1445,111,111,Scribe
Zone 2,1,Person 2215,111,111,Researcher
Zone 2,1,Person 3127,111,111,
Zone 2,1,Person 3995,111,111,
Zone 2,1,Person 4734,111,111,
Zone 2,1,Person 609,112,112,Leader
Zone 2,1,Person 1448,112,112,Scribe
Zone 2,1,Person 2216,112,112,Researcher
Zone 2,1,Person 3130,112,112,
Zone 2,1,Person 4000,112,112,
Zone 2,1,Person 4736,112,112,
Zone 2,1,Person 610,113,113,Leader
Zone 2,1,Person 1449,113,113,Scribe
Zone 2,1,Person 2218,113,113,Researcher
Zone 2,1,Person 3140,113,113,
Zone 2,1,Person 4003,113,113,
